Containers,Time,Data
5,82.74031972885132,100000
4,82.45776224136353,100000
3,93.90861749649048,100000
2,80.24259686470032,100000
1,72.61560010910034,100000


5,8.337356328964233,10000
4,7.994656801223755,10000
3,7.586925983428955,10000
2,7.513932466506958,10000
1,7.969196796417236,10000


5,2.034144878387451,1000
4,2.366330862045288,1000
3,2.4302737712860107,1000
2,3.105170965194702,1000
1,1.3962502479553223,1000


5,1.6272404193878174,100
4,2.1349687576293945,100
3,2.229999303817749,100
2,3.1714284420013428,100
1,1.2160694599151611,100


5,0.16732501983642578,10
4,0.2472362518310547,10
3,0.2690920829772949,10
2,0.2965097427368164,10
1,0.3558197021484375,10
