Name,Age,Major,GPA
Student7286,18,English,2.63
Student972,21,English,2.66
Student9184,24,Computer Science,3.07
Student9844,22,English,3.01
Student310,18,Mechanical Engineering,2.7
Student3711,22,English,3.55
Student3100,19,Computer Science,3.86
Student6420,24,Computer Science,3.82
Student6788,21,Computer Science,2.51
Student9990,23,Biology,2.65
Student8848,18,Computer Science,3.5
Student1730,19,Computer Science,2.94
Student4621,21,Psychology,3.22
Student3253,21,Computer Science,3.65
Student7035,20,Psychology,3.7
Student5208,19,Psychology,3.46
Student2223,22,English,2.52
Student1476,24,History,3.27
Student6223,23,Psychology,3.46
Student9373,23,Psychology,3.84
Student1793,21,Psychology,3.5
Student8536,20,Psychology,2.55
Student988,24,History,2.77
Student3023,24,Computer Science,3.87
Student5839,23,English,2.76
Student9118,20,Psychology,3.09
Student3599,18,History,3.19
Student5590,22,English,2.52
Student7361,22,Computer Science,3.75
Student7431,20,Computer Science,3.84
Student7444,19,Biology,3.3
Student7852,23,Computer Science,3.46
Student9600,21,History,3.58
Student949,22,Biology,3.97
Student782,19,Psychology,3.17
Student5765,24,Biology,2.57
Student6904,19,Biology,2.79
Student6728,20,English,3.53
Student2377,21,History,3.13
Student3708,18,Psychology,2.59
Student4678,20,History,2.63
Student7877,21,Computer Science,3.69
Student6608,21,Computer Science,3.32
Student559,23,Biology,2.54
Student3149,20,English,3.93
Student7643,18,Psychology,3.0
Student2037,20,Computer Science,3.46
Student4036,19,Biology,2.6
Student2220,24,History,2.72
Student143,23,Mechanical Engineering,3.62
Student1044,24,History,2.59
Student4833,22,Biology,3.31
Student7424,19,History,3.66
Student982,20,Biology,3.05
Student2796,22,English,3.28
Student7598,23,Mechanical Engineering,3.7
Student8521,21,Biology,2.59
Student614,19,Biology,3.5
Student810,20,Biology,3.81
Student3365,23,History,3.97
Student8258,23,Biology,2.96
Student7523,24,Computer Science,2.74
Student1168,20,Psychology,3.27
Student2557,19,English,3.25
Student2795,22,History,3.05
Student9869,22,English,2.64
Student510,22,Mechanical Engineering,2.8
Student5365,20,English,3.1
Student8823,22,Computer Science,3.93
Student1864,22,Mechanical Engineering,3.64
Student3029,18,Mechanical Engineering,2.9
Student1556,19,Computer Science,3.4
Student9675,18,English,3.33
Student9055,19,Psychology,2.7
Student1578,21,Biology,3.6
Student2939,24,Computer Science,2.89
Student6995,24,Psychology,3.8
Student275,20,Biology,3.87
Student281,24,Psychology,3.89
Student3662,22,History,2.51
Student5277,24,Psychology,3.41
Student1003,21,English,3.54
Student6338,18,History,2.58
Student6385,24,Biology,3.04
Student7216,23,Biology,2.97
Student3459,19,Biology,3.01
Student4422,24,Mechanical Engineering,3.73
Student6027,19,Biology,3.97
Student5828,18,Biology,3.06
Student4368,20,Mechanical Engineering,3.78
Student2070,21,English,2.6
Student5320,20,Computer Science,3.86
Student6164,22,Psychology,2.98
Student169,21,Computer Science,3.38
Student1069,20,Computer Science,3.2
Student7311,24,History,2.99
Student3130,23,Biology,2.9
Student7861,21,Psychology,3.36
Student299,19,History,3.18
Student3559,22,English,3.01
Student5958,18,Mechanical Engineering,2.69
Student1362,21,History,3.24
Student4289,19,Biology,3.3
Student4404,21,Psychology,2.71
Student3918,24,English,3.84
Student3530,19,Psychology,3.8
Student5978,21,Psychology,3.85
Student6229,22,English,3.56
Student981,18,English,3.59
Student1320,19,History,3.83
Student4773,24,English,2.93
Student9405,21,English,3.14
Student5600,22,Computer Science,3.25
Student8052,19,Mechanical Engineering,2.57
Student8518,22,Mechanical Engineering,3.65
Student3910,22,Mechanical Engineering,2.95
Student7849,24,Biology,2.84
Student1611,22,Computer Science,2.65
Student9104,22,Psychology,3.34
Student8449,24,Mechanical Engineering,3.28
Student7365,18,History,3.91
Student9047,21,Biology,2.67
Student6325,22,Biology,3.64
Student358,21,Psychology,3.03
Student9108,21,Mechanical Engineering,2.79
Student9288,19,Mechanical Engineering,3.96
Student3387,19,Mechanical Engineering,2.61
Student4151,18,Computer Science,3.12
Student5812,20,Psychology,2.54
Student9754,19,History,3.83
Student6170,24,Biology,3.55
Student5785,19,English,2.67
Student7436,23,History,3.73
Student7545,19,Psychology,2.54
Student703,20,Mechanical Engineering,3.2
Student9946,21,Mechanical Engineering,3.27
Student1564,21,Biology,3.34
Student1109,21,Computer Science,3.98
Student612,21,Computer Science,2.93
Student8186,21,History,3.58
Student2338,18,Mechanical Engineering,2.68
Student104,24,English,3.33
Student3119,18,Biology,3.28
Student3316,20,English,2.82
Student9148,18,Computer Science,3.26
Student7433,24,Computer Science,3.39
Student2155,20,History,2.62
Student6639,23,Mechanical Engineering,3.94
Student6591,19,Biology,2.69
Student8045,21,Mechanical Engineering,3.78
Student6977,18,Mechanical Engineering,3.68
Student2050,18,English,2.55
Student7131,19,Mechanical Engineering,3.19
Student9667,19,History,3.11
Student4238,18,Mechanical Engineering,2.67
Student3969,23,Computer Science,2.7
Student4309,18,English,3.16
Student1160,24,Mechanical Engineering,3.73
Student5627,19,Biology,3.01
Student8269,19,Computer Science,3.51
Student2806,20,English,3.5
Student2116,20,Mechanical Engineering,3.72
Student4854,18,Psychology,2.6
Student6040,19,English,2.85
Student6907,22,Computer Science,3.68
Student2851,22,History,3.79
Student8716,24,Psychology,2.89
Student382,21,Psychology,3.05
Student6356,23,Mechanical Engineering,3.77
Student1252,18,Psychology,2.93
Student3139,20,History,3.76
Student916,24,English,3.26
Student3406,18,History,2.94
Student3315,21,History,2.78
Student8887,20,Biology,3.79
Student8607,23,Psychology,3.93
Student2314,22,Mechanical Engineering,3.1
Student1852,23,Computer Science,2.79
Student3766,23,English,3.14
Student4742,21,English,3.48
Student1899,22,Psychology,2.75
Student398,18,English,3.59
Student6545,24,History,3.51
Student182,24,Mechanical Engineering,3.05
Student2181,18,Mechanical Engineering,4.0
Student3625,22,Computer Science,2.91
Student6310,18,English,2.59
Student4903,20,English,2.7
Student9926,21,Computer Science,3.43
Student3379,22,Psychology,3.8
Student6089,23,Psychology,2.68
Student3222,20,English,3.7
Student8469,23,History,2.96
Student8847,19,Computer Science,2.64
Student7201,18,Psychology,2.65
Student4446,24,Biology,3.76
Student8035,24,English,3.91
Student1135,19,Mechanical Engineering,3.08
Student6498,21,Mechanical Engineering,2.86
Student7220,18,Biology,2.69
Student7279,24,Computer Science,2.76
Student9117,20,Biology,2.75
Student9282,21,English,2.6
Student3334,18,Computer Science,3.69
Student5325,21,English,3.35
Student297,23,History,3.32
Student4419,19,English,2.97
Student6638,22,History,3.01
Student958,18,History,2.72
Student3960,20,Mechanical Engineering,3.14
Student4607,21,Computer Science,3.13
Student4586,24,Mechanical Engineering,2.76
Student5111,18,Psychology,2.83
Student5461,24,Computer Science,3.17
Student9294,19,Biology,3.35
Student3200,24,Biology,3.57
Student4050,20,Computer Science,3.92
Student655,24,Mechanical Engineering,2.63
Student5992,18,Psychology,3.89
Student7028,23,Computer Science,2.81
Student6514,18,Mechanical Engineering,3.78
Student6506,22,Computer Science,3.97
Student9968,18,Biology,3.7
Student7000,21,Psychology,3.08
Student8959,23,Mechanical Engineering,3.46
Student9552,21,Biology,3.49
Student5094,18,Computer Science,2.57
Student8483,19,History,3.7
Student9022,19,History,3.49
Student3224,20,English,3.27
Student482,23,English,2.93
Student6256,24,Mechanical Engineering,3.3
Student6373,24,History,3.89
Student3781,18,Computer Science,3.84
Student6660,22,History,2.72
Student8697,24,Psychology,3.92
Student8299,22,Computer Science,3.18
Student623,23,Mechanical Engineering,3.44
Student1834,24,Psychology,3.22
Student2246,20,English,3.71
Student5447,21,English,3.47
Student9010,20,Psychology,3.65
Student5499,22,History,3.68
Student3978,20,Mechanical Engineering,2.75
Student5680,20,Computer Science,3.38
Student7796,21,English,3.63
Student9473,23,Mechanical Engineering,3.86
Student3953,23,Psychology,2.61
Student577,22,Biology,3.96
Student1744,22,History,3.57
Student196,24,Biology,3.9
Student6651,24,Mechanical Engineering,3.82
Student8618,24,Psychology,3.25
Student8954,20,Psychology,3.45
Student2379,21,History,3.96
Student6120,20,History,3.22
Student2804,19,Computer Science,3.59
Student690,24,Computer Science,3.54
Student1239,23,Mechanical Engineering,3.05
Student7458,18,Mechanical Engineering,2.72
Student6202,23,Mechanical Engineering,3.53
Student6855,21,History,3.71
Student678,24,Psychology,3.82
Student3227,22,History,2.77
Student5140,21,Psychology,3.5
Student5806,21,Mechanical Engineering,2.92
Student6656,23,Psychology,3.46
Student8369,19,Computer Science,3.14
Student6832,24,Biology,3.09
Student4328,18,History,3.14
Student5230,21,History,2.63
Student4023,20,Biology,3.2
Student491,18,Computer Science,3.57
Student7098,20,English,2.98
Student6932,19,History,3.32
Student4825,23,Psychology,3.21
Student3520,24,Psychology,3.54
Student1900,23,Mechanical Engineering,2.55
Student2772,19,History,3.17
Student1783,24,History,3.75
Student8520,21,History,3.76
Student4278,20,History,3.89
Student4385,20,English,3.32
Student6746,23,Computer Science,3.02
Student7683,24,Computer Science,2.68
Student2644,19,Psychology,2.52
Student2506,21,Psychology,3.13
Student4668,23,Biology,2.6
Student6454,19,Mechanical Engineering,3.02
Student7316,20,History,3.12
Student1368,21,Computer Science,3.09
Student4180,20,Psychology,3.91
Student5667,18,Mechanical Engineering,2.89
Student8283,23,Computer Science,3.05
Student3788,19,Computer Science,3.8
Student9247,21,History,3.48
Student1139,21,History,3.16
Student8309,21,History,2.56
Student5336,18,Computer Science,3.9
Student5145,22,Biology,3.06
Student5773,24,History,3.0
Student3027,20,Computer Science,3.0
Student4354,19,Computer Science,2.54
Student9082,21,Psychology,2.98
Student7213,24,Mechanical Engineering,3.71
Student2357,20,History,2.93
Student8850,20,Psychology,3.21
Student9230,19,Psychology,3.63
Student2784,18,Psychology,3.21
Student5193,19,Mechanical Engineering,3.0
Student1773,23,Biology,3.34
Student7472,24,English,3.87
Student3499,19,Mechanical Engineering,3.2
Student6323,24,English,3.21
Student8063,21,Biology,3.71
Student1594,20,Biology,3.58
Student1446,20,Computer Science,3.48
Student2213,24,Biology,3.97
Student4605,24,Psychology,3.77
Student6260,21,Psychology,3.35
Student8206,22,Mechanical Engineering,2.85
Student440,18,Mechanical Engineering,3.54
Student7294,24,Psychology,3.17
Student4686,22,English,3.41
Student9884,24,English,2.76
Student3355,22,Mechanical Engineering,3.86
Student479,21,History,3.97
Student6818,22,Biology,3.32
Student4693,20,Biology,3.54
Student6334,19,Mechanical Engineering,3.02
Student5653,22,Mechanical Engineering,2.71
Student5648,24,English,3.12
Student4859,19,Biology,2.9
Student72,19,Psychology,3.72
Student2603,20,Mechanical Engineering,3.38
Student1989,18,English,3.89
Student355,24,Mechanical Engineering,3.42
Student2930,18,Mechanical Engineering,2.74
Student5781,20,Psychology,3.5
Student4375,19,English,2.56
Student5922,19,Computer Science,3.02
Student6716,18,Mechanical Engineering,3.87
Student625,21,Mechanical Engineering,2.64
Student2674,22,Psychology,2.58
Student636,23,Mechanical Engineering,3.48
Student5330,21,Mechanical Engineering,2.86
Student8648,20,Mechanical Engineering,3.18
Student3773,19,Psychology,3.05
Student393,21,Computer Science,3.42
Student165,20,Biology,3.15
Student1567,22,Mechanical Engineering,3.87
Student7502,19,Mechanical Engineering,2.84
Student8195,23,History,3.69
Student4465,22,Mechanical Engineering,3.98
Student6332,22,History,3.92
Student2430,19,Mechanical Engineering,3.29
Student5841,19,Biology,3.84
Student8858,18,Computer Science,2.95
Student5321,19,History,2.52
Student8600,23,History,3.89
Student1038,21,Mechanical Engineering,3.33
Student8226,24,Mechanical Engineering,3.69
Student2472,21,History,3.99
Student4988,18,English,2.88
Student2446,20,English,2.85
Student1276,19,Psychology,2.81
Student1779,19,Computer Science,3.49
Student3617,18,Biology,3.27
Student6846,21,Computer Science,2.78
Student9620,20,Psychology,2.61
Student7892,22,English,2.64
Student1055,21,History,2.54
Student8805,20,English,2.69
Student9845,24,History,3.6
Student2787,24,English,2.67
Student5124,21,Biology,3.99
Student3924,20,Computer Science,2.85
Student3076,20,History,2.88
Student7522,22,Psychology,2.64
Student1972,18,History,3.57
Student9267,20,Biology,3.17
Student1672,19,Mechanical Engineering,2.86
Student2206,23,History,3.0
Student2789,23,Biology,3.63
Student5292,24,History,3.32
Student6912,23,Biology,3.06
Student1262,19,English,3.99
Student4287,20,Biology,3.3
